video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7210018038068825349,2023-03-13T14:12:24,70,BE,375800,1203,879,18200000,Watch us test this huge amount of gold!  #gold#goldbar#jewellery#testinggold#unboxing#luxury#rolex#watches#goldcoins#goldcollector#goldtraders#hype#money ,False,,richard_belgium,richard_belgium,,,,,,False
7056495498143763718,2022-01-23T21:06:29,18,GB,323300,6212,3378,3700000,yikes😳 (@kayln 💫) #fypシ #foryou #foryoupage #tiktok #allergy #doctors,False,,itsgoneviral,It's Gone Viral,,,,,,True
7193006994251435269,2023-01-26T18:00:53,66,CA,1500000,27900,157000,26100000,This is a visual test to see how fast your brain is. #foryou #test #brainteaser #visual @cloutatlas @cloutatlas @cloutatlas ,False,,cloutatlas,cloutatlas,,,,,,False
7213032556051107077,2023-03-21T17:10:17,63,FR,312400,319,679,3400000,Road to world record finalement ! ,False,,brutuslerobuste,Brutuslerobuste,,,,,,False
7013304493030821125,2021-09-29T12:43:22,55,FR,343,6,5,16800,#quizz #humour #fyp #pourtoi #friends #best #laugh #lol,False,,elisalcnt45611,elisalcnt,,,,,,False
7245491493803199787,2023-06-17T05:27:40,207,US,795100,30900,21000,11300000,Autism test. Neurodivergent Autistic adults may struggle to read facial expressions and understand emotions communicated on one’s face according to research. Here’s a simple test to see if you can read facial expressions.#autismtest #neurodivergent #actuallyautistic #autism #actuallyautistictiktoks @Inflow: ADHD app ,False,,drgeorgesachs,Dr. George Sachs | ADHD 🌈ASD,,,,,,False
7223416161445104922,2023-04-18T17:44:03,60,FR,2100000,5857,5458,18700000,#fail #fails #failscompilation #car #stabilitytest #test #moosetestfail #dacia #porsche #volkswagen #fyp ,False,,test_auto,Test auto officiel,,,,,,False
7207849581097274630,2023-03-07T17:57:41,60,FR,569000,11500,3433,6900000,toyota hilux fails stability test 😨 #toyota #toyotahilux #fail #stabilitytest #moosetestfail #pickup #nissannavara #dodgeram #mercedes #volkswagen ,False,,test_auto,Test auto officiel,,,,,,False
7216497372338081051,2023-03-31T02:16:12,17,GB,988300,9601,1849,36700000,seatbelt can save your life. 35mph #crash #test ,False,,crashtest111,Crash Test,,,,,,False
7185223100319927558,2023-01-05T18:35:23,79,CA,49100,1398,6717,1500000,This is a vision acuity test to see how accurate your vision strength is. #foryou #test #astigmatism #vision #optometrist @cloutatlas @cloutatlas @cloutatlas ,False,,cloutatlas,cloutatlas,,,,,,False
7205954886272306437,2023-03-02T15:25:17,61,FR,51600,239,338,1300000,#mercedes #mercedesamg #car #cartok #stabilitytest #test #viral #fyp ,False,,test_auto,Test auto officiel,,,,,,False
7231913938093427994,2023-05-11T15:19:44,44,US,5400000,169700,125300,101700000,Ответ пользователю @Haies  Durability test  Lamborghini URUS🤯 #jetcarru ,False,,jetcar.ru,JETCAR,,,,,,False
7220781588420758810,2023-04-11T15:20:33,13,PL,53,2,3,4044,#dc#dc#dc#viral#viral#patty😈🔥 #gniew#test#test#gniew#80 #dlaciebie? ,False,,profiloserichtureckichii,↙️Zapraszam na mój profil ↙️,,,,,,False
7192290792541605162,2023-01-24T19:42:00,58,US,1900000,5223,5270,16600000,pregnancy test results. #pregnancytiktok #pregnant #pregnancytest #pregnancytestresults #pregnancytestroulette #pregnancytestchallenge ,False,,sj.larevitzear,SJ,,,,,,False
6982988850083761413,2021-07-09T20:03:12,19,ES,10200,348,456,185500,#greenscreen #gafascompletas #optica #foryou #parati,False,,gafascompletas,GafasCompletas,,,,,,False
7030795734479817989,2021-11-15T14:58:17,41,DE,1640,108,61,101900,#testosterone #test #menshealth #viral #fyp,False,,cold.strength,Cold Strength,,,,,,False
7125537495302819078,2022-07-28T23:24:45,93,CA,1500000,10800,6690,33500000,Allergy Skin Test 😅,False,,venusstam,VST,,,,,,False
7242696042448194821,2023-06-09T16:39:44,144,TR,238,14,6,27600,Benim cv 👆🏻😅 #benbendegiltesti #tiktoktest #testler #sorucevapchallenge #nekadartestleri ,False,,brunettemodee,brunettemode,,,,,,False
7192667516811070725,2023-01-25T20:03:31,61,FR,4400000,15900,26500,46600000,Do you have Megalophobia? 👽 #fearunlocked #alien #virtualinfluencer #foryou #viral,False,,iam_zlu,Zlu,,,,,,False
7195374971206634757,2023-02-02T03:09:54,165,MX,4000000,51500,71300,52800000,Respuesta a @Karen Orozco que conste que ustedes me lo pidieron👀🙈🙉🙊 jajajajajaja ✨🫶 #asmr #tdah #tdahtiktok #testtdah #asmrexam #asmrroleplay  #asmrtdah #neurodivergent #neurodivergente #asmrtiktoks #asmrtok #relajante #visualasmrtriggers ,False,,monasmr,Mon de Aldecoa ASMR,,,,,,False
7211590807269264646,2023-03-17T19:55:33,59,FR,210300,1639,785,1400000,@Leanemarts ,False,,maelplat,maelplat,,,,,,False
7091281047605824774,2022-04-27T15:52:13,95,GB,395500,3098,1302,12200000,#foryou #fyp #movie #video,False,,unywhnelnasalz,yilanes,,,,,,False
7170297196573674757,2022-11-26T13:15:17,82,FR,112300,657,2488,1400000,Alors tu as réussi ?😁#musiques#test 👍🏼😭,False,,justt._.elisaaa,🤍Elisa🤍,,,,,,False
7227504297955577094,2023-04-29T18:08:01,171,TR,135100,978,1471,5500000,Bölüm 1#test#telefon#test#tlefon#iphone #iphone11 #kesfet#kesfet#kesfet#kesfetbenionecikar#napim#kesfetteyiz ,False,,hasan.varan29,TestTelefon,,,,,,False
7211244590697827627,2023-03-16T21:32:07,38,AU,2000000,22400,67200,34700000,Replying to @LemonRIZZ🍋🧊 #vape #smoker #lungtest #lungcleanse #breathhold ,False,,breathbreak,Breathbreak,,,,,,False
7092773011727666433,2022-05-01T16:21:47,49,TR,38300,1046,329,1700000,@Samet Liçina 😂 sizin kaç parmağınız iniyor 😂,False,,ardabektas,Ardabektas,,,,,,True
7191861333502053638,2023-01-23T15:55:09,15,FR,44400,238,440,977700,Je te laisse aller voir mon profil  #testnucleare #nucleaire #danger,False,,voix_thea,Voix_thea,,,,,,False
7204581793809337605,2023-02-26T22:37:02,72,FR,141200,285,784,1500000,Ptdrrrrrrr la fin trop gênant ,False,,justt__aniaa,Ania®️,,,,,,False
7217934981564321029,2023-04-03T23:14:12,33,ES,3000000,35000,32300,56100000,#talasofobia #mar #sea #fobia #talassophobia #sea #phobia ,False,,doble_m_curiosity,Doble M,,,,,,False
7229681659644333318,2023-05-05T14:57:16,85,TR,313,13,26,30700,Eğlenceli oluyormuş böyle testler 🤭 #fyp #tes #test #keşfettiktokk #tiktokvideoları #cevapsizsorular #nekadarsevildintesti #greenscreen ,False,,sevvaalyavuuz6,ŞEVVAL YAVUZ,,,,,,False
7209702842603425029,2023-03-12T17:49:18,69,FR,8386,195,1002,278900,"Test de vue, la 10 est impossible #test #quiz #cultureg #culturegenerale #apprendre #logique ",False,,vincent_quizman,"VINCENT I QUIZ, JEUX, ÉNIGMES",,,,,,False
7195615660448402693,2023-02-02T18:43:49,92,FR,12400,9,31,275900,🤮🤮🤮🤮 ,False,,gabie_tqr,Gabie_tqr,,,,,,False
7226793714327342362,2023-04-27T20:10:41,65,AT,1900000,44600,120900,35600000,challenge your friend #challenge #military #lungtest #breathingexercises #breathingtechniques #breath,False,,breathnow5,breath.,,,,,,False
7231582921344257306,2023-05-10T17:55:19,74,FR,250800,584,1011,1900000,#duo avec @Hop Eloquence 🎙 #test ,False,,lucasdorable,Lucasdorable,,,,,,True
7221557597139160326,2023-04-13T17:31:46,7,FR,59,2,9,3680,c'est déjà un bon point 😋 j'espère que vous aussi #test #personality #105questionspersonalitytest #fyp #pourtoi ,False,,superactiive,superactiive,,,,,,False
7227399414166392090,2023-04-29T11:21:09,72,FR,242600,1079,997,10800000,Car Vs Speedbump 2.0 - Renault 11 #beamngdrive #beamng #speedbump #renault #11 #gaming #pc #fyp #fypシ #foryou #test #crashtest #carcrash #videogames #speed #2023 #mod #cars #community #mods #Cartiktok ,False,,beamng_infinium,Beamng_Infinium,,,,,,False
7234857720715693338,2023-05-19T13:43:07,63,FR,254700,264,755,2900000,Je test la fidélité de ta meuf ❤️ partie 3 #larisengone #experiencesocial #amour #relation #hommefemme #tromperie #ptdrr #drole ,False,,laris_engone,Laris_Engone,,,,,,False
7243823748124527898,2023-06-12T17:35:53,54,FR,256300,550,658,4900000,Alors vous avez réussi à trouver l’imposteur ? 😂 #yumesquad #blindtest ,False,,yumesquad_,Yume Squad 🏴‍☠️,,,,,,False
7227115840108350746,2023-04-28T17:00:42,95,FR,239900,1475,852,1700000,Je teste l’œuf explosif !! 🤣 (c’est une dinguerie ) 🗿Insta:matosbeatbox,False,,matosbeatbox,MATOS,,,,,,False
7210409270939110683,2023-03-14T15:30:38,82,FR,245000,3265,2810,1300000,dites-moi si vous avez rigolé juste pour savoir la moyenne d’age de mes abonnés  ,False,,alexandre_corbet,Alexandre corbet,,,,,,False
7229427666443635994,2023-05-04T22:31:53,62,FR,53400,143,371,530400,Test échoué 😂,False,,justt__zizouu,Justt__zizouu,,,,,,False
7241604490317679898,2023-06-06T18:04:02,128,FR,34700,1450,925,909800,fermez les yeux pour une belle experience 😌😌 Dites moi en commentaire vos reponses  #psychologie #test #quiz #personnalité #emotions #france #comportement #testdepsychologie ,False,,philosoflix,Philosoflix,,,,,,False
7147734377240284421,2022-09-26T18:59:59,81,FR,1860,167,58,39100,Alors ? #drole #maturite #pourtoi #fyp #OPPOShadowSkills ,False,,95_flashmcqueen_95,QUE LES FAN DE FLASH❤️,,,,,,False
7243398805171735834,2023-06-11T14:06:56,60,FR,145200,3965,18900,4200000,Test de logique 🧠 👉Abonne toi pour plus de tests #test #enigme #devinette #intelligence #intelligent #jeux #pourtoi ,False,,docteurenigmatic,Enigmatic,,,,,,False
7044585939062115589,2021-12-22T18:51:19,27,FR,61400,262,1043,485700,combien de doigts baissés pour vous ?😅,False,,camiilluna,𝒞𝒶𝓂 🧚🏻‍♀️,,,,,,False
7222406166511488262,2023-04-16T00:24:41,20,FR,2801,455,456,63200,Alors /5 ??  #meilleureamie #test #pourtoi ,False,,kitty.bae06,Kitty.vibe,,,,,,False
7245537021941255450,2023-06-17T08:24:36,90,FR,33300,6831,3843,3200000,"Découvrez le phénomène sensationnel qui fait le buzz sur TikTok! Grâce à notre test auditif unique, déterminez l'âge de vos oreilles en un clin d'œil. Ce test repose sur la capacité de votre audition à percevoir différentes fréquences sonores en fonction de votre âge. Plus vous êtes jeune, plus vous êtes capable de percevoir des sons aigus. En vieillissant, cette capacité diminue progressivement.  Dans cette vidéo, nous vous proposons un test rapide, ludique et surprenant qui vous permettra de connaître l'âge de vos oreilles en écoutant simplement des sons. Participez à cette expérience et partagez vos résultats avec vos amis pour découvrir qui a les oreilles les plus jeunes! Soyez prêts à être étonnés par les résultats de ce test auditif fascinant! Pour ne rien rater des dernières tendances et autres phénomènes viraux, n'oubliez pas de vous abonner à notre chaîne et de partager cette vidéo. #TestAuditif #AgeDesOreilles #TikTokPhénomène #Audition #FréquencesSonores #ExperienceTikTok #VidéoViral",False,,oneverif,Onevérifff,,,,,,False
7162949602415529221,2022-11-06T18:02:50,60,FR,208600,4086,13600,3100000,Test de personnalité ! #test #lumieresur #psycho #psychologyfacts #tiktokacademie ,False,,marketdamp,Marketdamp | Lucas,,,,,,False
7247522122522692890,2023-06-22T16:47:31,102,FR,81100,318,156,558700,Ils sont bons 😂😂😂,False,,21nnk_,21nnk.,,,,,,False
7226051700384156954,2023-04-25T20:11:21,82,FR,22500,163,5098,399800,Test de daltonisme 👁️ #quiz #testdevue#testdevue #couleur  #daltonismo #daltonisme #daltonien #test  #vue #pourtoi ,False,,tonioquiz,Tonio Quiz 🧠,,,,,,False
7210471394587659525,2023-03-14T19:31:39,83,FR,7650,17,173,95300,Alors combien de % ? #rap #rapfr #fyp #viral #djtisko #fantest #pourtoi #fr ,False,,djtisko,𝑫𝑱 𝑻𝒊𝒔𝒌𝒐,,,,,,False
7235706597555637531,2023-05-21T20:37:18,160,FR,21500,41,180,116600,#prt #mrlamie ,False,,aigries.lavrai,🪻 AIGRIES 🪻,,,,,,False
7237189149655059717,2023-05-25T20:30:11,88,US,13600,801,626,155600,#testpsicologico ,False,,aranzaarbulu,Aranza Arbulú,,,,,,False
7235675794385669402,2023-05-21T18:37:45,117,FR,248300,380,1336,1500000,Fou rire 🤣🤣🤣#ambrejrmoupas ,False,,ambrejrmoupas,💘ambre💘,,,,,,False
7238665685457456410,2023-05-29T19:59:58,79,FR,24700,200,978,529900,Quel est ton score sur 6 ? 🤔 Essaie aussi ce test @Quiztopher Colomb 🌍 #quiz #question #test #memoire #observation #image #mémoirevisuelle ,False,,quiztophercolomb,Quiztopher Colomb 🌍,,,,,,False
7239406201878990107,2023-05-31T19:53:33,60,FR,3501,459,63,103300,Fais tes choix et partage les en commentaire ! #fyp #pourtoi #foryoupage #trend #swipe #choices #mariage #pourtoi #weeding #love #pt #toryourpage #viral #fyp #xyzbca ,False,,boaboa010,BOA,,,,,,False
7245215367323340058,2023-06-16T11:36:09,64,FR,13500,474,3595,659900,Test de logique 🧠 👉Abonne toi pour plus de tests #test #enigme #devinette #intelligence #intelligent #jeux #pourtoi ,False,,docteurenigmatic,Enigmatic,,,,,,False
